x,y
forgot the land of his,birth
the land of his birth,or
land of his birth or,the
of his birth or the,duty
his birth or the duty,to
birth or the duty to,share
or the duty to share,his
the duty to share his,blessings
duty to share his blessings,with
to share his blessings with,others
share his blessings with others,.
his blessings with others .,he
blessings with others . he,built
with others . he built,a
others . he built a,brand
. he built a brand,new
he built a brand new,hospital
built a brand new hospital,in
a brand new hospital in,his
brand new hospital in his,old
new hospital in his old,hometown
hospital in his old hometown,.
in his old hometown .,a
his old hometown . a,friend
old hometown . a friend,has
hometown . a friend has,said
. a friend has said,of
a friend has said of,this
friend has said of this,good-hearted
has said of this good-hearted,man
said of this good-hearted man,``
of this good-hearted man ``,mutombo
this good-hearted man `` mutombo,believes
good-hearted man `` mutombo believes,that
man `` mutombo believes that,god
`` mutombo believes that god,has
mutombo believes that god has,given
believes that god has given,him
that god has given him,this
god has given him this,opportunity
has given him this opportunity,to
given him this opportunity to,do
him this opportunity to do,great
this opportunity to do great,things
opportunity to do great things,.
to do great things .,''
do great things . '',and
great things . '' and,we
things . '' and we,are
. '' and we are,proud
'' and we are proud,to
and we are proud to,call
we are proud to call,this
are proud to call this,son
proud to call this son,of
to call this son of,the
call this son of the,congo
this son of the congo,a
son of the congo a,citizen
of the congo a citizen,of
the congo a citizen of,the
congo a citizen of the,united
a citizen of the united,states
citizen of the united states,of
of the united states of,america
the united states of america,.
united states of america .,after
states of america . after,her
of america . after her,daughter
america . after her daughter,was
. after her daughter was,born
after her daughter was born,julie
her daughter was born julie,aigner-clark
daughter was born julie aigner-clark,searched
was born julie aigner-clark searched,for
born julie aigner-clark searched for,ways
julie aigner-clark searched for ways,to
aigner-clark searched for ways to,share
searched for ways to share,her
for ways to share her,love
ways to share her love,of
to share her love of,music
share her love of music,and
her love of music and,art
love of music and art,with
of music and art with,her
music and art with her,child
and art with her child,.
art with her child .,so
with her child . so,she
her child . so she,borrowed
child . so she borrowed,some
. so she borrowed some,equipment
so she borrowed some equipment,and
she borrowed some equipment and,began
borrowed some equipment and began,filming
some equipment and began filming,children
equipment and began filming children,'s
and began filming children 's,videos
began filming children 's videos,in
filming children 's videos in,her
children 's videos in her,basement
's videos in her basement,.
videos in her basement .,the
in her basement . the,baby
her basement . the baby,einstein
basement . the baby einstein,company
. the baby einstein company,was
the baby einstein company was,born
baby einstein company was born,and
einstein company was born and,in
company was born and in,just
was born and in just,five
born and in just five,years
and in just five years,her
in just five years her,business
just five years her business,grew
five years her business grew,to
years her business grew to,more
her business grew to more,than
business grew to more than,$
grew to more than $,20
to more than $ 20,million
more than $ 20 million,in
than $ 20 million in,sales
$ 20 million in sales,.
20 million in sales .,in
million in sales . in,november
in sales . in november,2001
sales . in november 2001,julie
. in november 2001 julie,sold
in november 2001 julie sold,baby
november 2001 julie sold baby,einstein
2001 julie sold baby einstein,to
julie sold baby einstein to,walt
sold baby einstein to walt,disney
baby einstein to walt disney,company
einstein to walt disney company,and
to walt disney company and,with
walt disney company and with,her
disney company and with her,help
company and with her help,baby
and with her help baby,einstein
with her help baby einstein,has
her help baby einstein has,grown
help baby einstein has grown,into
baby einstein has grown into,a
einstein has grown into a,$
has grown into a $,200
grown into a $ 200,million
into a $ 200 million,business
a $ 200 million business,.
$ 200 million business .,julie
200 million business . julie,represents
million business . julie represents,the
business . julie represents the,great
. julie represents the great,enterprising
julie represents the great enterprising,spirit
represents the great enterprising spirit,of
the great enterprising spirit of,america
great enterprising spirit of america,.
enterprising spirit of america .,and
spirit of america . and,she
of america . and she,is
america . and she is,using
. and she is using,her
and she is using her,success
she is using her success,to
is using her success to,help
using her success to help,others—producing
her success to help others—producing,child
success to help others—producing child,safety
to help others—producing child safety,videos
help others—producing child safety videos,with
others—producing child safety videos with,john
child safety videos with john,walsh
safety videos with john walsh,of
videos with john walsh of,the
with john walsh of the,national
john walsh of the national,center
walsh of the national center,for
of the national center for,missing
the national center for missing,and
national center for missing and,exploited
center for missing and exploited,children
for missing and exploited children,.
missing and exploited children .,julie
and exploited children . julie,says
exploited children . julie says,of
children . julie says of,her
. julie says of her,new
julie says of her new,project
says of her new project,``
of her new project ``,i
her new project `` i,believe
new project `` i believe,it
project `` i believe it,is
`` i believe it is,the
i believe it is the,most
believe it is the most,important
it is the most important,thing
is the most important thing,i
the most important thing i,have
most important thing i have,ever
important thing i have ever,done
thing i have ever done,.
i have ever done .,i
have ever done . i,believe
ever done . i believe,that
done . i believe that,children
. i believe that children,have
i believe that children have,the
believe that children have the,right
that children have the right,to
children have the right to,live
have the right to live,in
the right to live in,a
right to live in a,world
to live in a world,that
live in a world that,is
in a world that is,safe
a world that is safe,.
world that is safe .,''
that is safe . '',and
is safe . '' and,so
safe . '' and so,tonight
. '' and so tonight,we
'' and so tonight we,are
and so tonight we are,pleased
so tonight we are pleased,to
tonight we are pleased to,welcome
we are pleased to welcome,this
are pleased to welcome this,talented
pleased to welcome this talented,business
to welcome this talented business,entrepreneur
welcome this talented business entrepreneur,and
this talented business entrepreneur and,generous
talented business entrepreneur and generous,social
business entrepreneur and generous social,entrepreneur
entrepreneur and generous social entrepreneur,julie
and generous social entrepreneur julie,aigner-clark
generous social entrepreneur julie aigner-clark,.
social entrepreneur julie aigner-clark .,three
entrepreneur julie aigner-clark . three,weeks
julie aigner-clark . three weeks,ago
aigner-clark . three weeks ago,wesley
. three weeks ago wesley,autrey
three weeks ago wesley autrey,was
weeks ago wesley autrey was,waiting
ago wesley autrey was waiting,at
wesley autrey was waiting at,a
autrey was waiting at a,harlem
was waiting at a harlem,subway
waiting at a harlem subway,station
at a harlem subway station,with
a harlem subway station with,his
harlem subway station with his,two
subway station with his two,little
station with his two little,girls
with his two little girls,when
his two little girls when,he
two little girls when he,saw
little girls when he saw,a
girls when he saw a,man
when he saw a man,fall
he saw a man fall,into
saw a man fall into,the
a man fall into the,path
man fall into the path,of
fall into the path of,a
into the path of a,train
the path of a train,.
path of a train .,with
of a train . with,seconds
a train . with seconds,to
train . with seconds to,act
. with seconds to act,wesley
with seconds to act wesley,jumped
seconds to act wesley jumped,onto
to act wesley jumped onto,the
act wesley jumped onto the,tracks
wesley jumped onto the tracks,pulled
jumped onto the tracks pulled,the
onto the tracks pulled the,man
the tracks pulled the man,into
tracks pulled the man into,the
pulled the man into the,space
the man into the space,between
man into the space between,the
into the space between the,rails
the space between the rails,and
space between the rails and,held
between the rails and held,him
the rails and held him,as
rails and held him as,the
and held him as the,train
held him as the train,passed
him as the train passed,right
as the train passed right,above
the train passed right above,their
train passed right above their,heads
passed right above their heads,.
right above their heads .,he
above their heads . he,insists
their heads . he insists,he
heads . he insists he,'s
. he insists he 's,not
he insists he 's not,a
insists he 's not a,hero
he 's not a hero,.
's not a hero .,he
not a hero . he,says
a hero . he says,``
hero . he says ``,we
. he says `` we,got
he says `` we got,guys
says `` we got guys,and
`` we got guys and,girls
we got guys and girls,overseas
got guys and girls overseas,dying
guys and girls overseas dying,for
and girls overseas dying for,us
girls overseas dying for us,to
overseas dying for us to,have
dying for us to have,our
for us to have our,freedoms
us to have our freedoms,.
to have our freedoms .,we
have our freedoms . we,have
our freedoms . we have,got
freedoms . we have got,to
. we have got to,show
we have got to show,each
have got to show each,other
got to show each other,some
to show each other some,love
show each other some love,.
each other some love .,''
other some love . '',there
some love . '' there,is
love . '' there is,something
. '' there is something,wonderful
'' there is something wonderful,about
there is something wonderful about,a
is something wonderful about a,country
something wonderful about a country,that
wonderful about a country that,produces
about a country that produces,a
a country that produces a,brave
country that produces a brave,and
that produces a brave and,humble
produces a brave and humble,man
a brave and humble man,like
brave and humble man like,wesley
and humble man like wesley,autrey
humble man like wesley autrey,.
man like wesley autrey .,tommy
like wesley autrey . tommy,rieman
wesley autrey . tommy rieman,was
autrey . tommy rieman was,a
. tommy rieman was a,teenager
tommy rieman was a teenager,pumping
rieman was a teenager pumping,gas
was a teenager pumping gas,in
a teenager pumping gas in,independence
teenager pumping gas in independence,kentucky
pumping gas in independence kentucky,when
gas in independence kentucky when,he
in independence kentucky when he,enlisted
independence kentucky when he enlisted,in
kentucky when he enlisted in,the
when he enlisted in the,united
he enlisted in the united,states
enlisted in the united states,army
in the united states army,.
the united states army .,in
united states army . in,december
states army . in december,2003
army . in december 2003,he
. in december 2003 he,was
in december 2003 he was,on
december 2003 he was on,a
2003 he was on a,reconnaissance
he was on a reconnaissance,mission
was on a reconnaissance mission,in
on a reconnaissance mission in,iraq
a reconnaissance mission in iraq,when
reconnaissance mission in iraq when,his
mission in iraq when his,team
in iraq when his team,came
iraq when his team came,under
when his team came under,heavy
his team came under heavy,enemy
team came under heavy enemy,fire
came under heavy enemy fire,.
under heavy enemy fire .,from
heavy enemy fire . from,his
enemy fire . from his,humvee
fire . from his humvee,sergeant
. from his humvee sergeant,rieman
from his humvee sergeant rieman,returned
his humvee sergeant rieman returned,fire
humvee sergeant rieman returned fire,.
sergeant rieman returned fire .,he
rieman returned fire . he,used
returned fire . he used,his
fire . he used his,body
. he used his body,as
he used his body as,a
used his body as a,shield
his body as a shield,to
body as a shield to,protect
as a shield to protect,his
a shield to protect his,gunner
shield to protect his gunner,.
to protect his gunner .,he
protect his gunner . he,was
his gunner . he was,shot
gunner . he was shot,in
. he was shot in,the
he was shot in the,chest
was shot in the chest,and
shot in the chest and,arm
in the chest and arm,and
the chest and arm and,received
chest and arm and received,shrapnel
and arm and received shrapnel,wounds
arm and received shrapnel wounds,to
and received shrapnel wounds to,his
received shrapnel wounds to his,legs
shrapnel wounds to his legs,yet
wounds to his legs yet,he
to his legs yet he,refused
his legs yet he refused,medical
legs yet he refused medical,attention
yet he refused medical attention,and
he refused medical attention and,stayed
refused medical attention and stayed,in
medical attention and stayed in,the
attention and stayed in the,fight
and stayed in the fight,.
stayed in the fight .,he
in the fight . he,helped
the fight . he helped,to
fight . he helped to,repel
. he helped to repel,a
he helped to repel a,second
helped to repel a second,attack
to repel a second attack,firing
repel a second attack firing,grenades
a second attack firing grenades,at
second attack firing grenades at,the
attack firing grenades at the,enemy
firing grenades at the enemy,'s
grenades at the enemy 's,position
at the enemy 's position,.
the enemy 's position .,for
enemy 's position . for,his
's position . for his,exceptional
position . for his exceptional,courage
. for his exceptional courage,sergeant
for his exceptional courage sergeant,rieman
his exceptional courage sergeant rieman,was
exceptional courage sergeant rieman was,awarded
courage sergeant rieman was awarded,the
sergeant rieman was awarded the,silver
rieman was awarded the silver,star
was awarded the silver star,.
awarded the silver star .,and
the silver star . and,like
silver star . and like,so
star . and like so,many
. and like so many,other
and like so many other,americans
like so many other americans,who
so many other americans who,have
many other americans who have,volunteered
other americans who have volunteered,to
americans who have volunteered to,defend
who have volunteered to defend,us
have volunteered to defend us,he
volunteered to defend us he,has
to defend us he has,earned
defend us he has earned,the
us he has earned the,respect
he has earned the respect,and
has earned the respect and,the
earned the respect and the,gratitude
the respect and the gratitude,of
respect and the gratitude of,our
and the gratitude of our,entire
the gratitude of our entire,country
gratitude of our entire country,.
of our entire country .,in
our entire country . in,such
entire country . in such,courage
country . in such courage,and
. in such courage and,compassion
in such courage and compassion,ladies
such courage and compassion ladies,and
courage and compassion ladies and,gentlemen
and compassion ladies and gentlemen,we
compassion ladies and gentlemen we,see
ladies and gentlemen we see,the
and gentlemen we see the,spirit
gentlemen we see the spirit,and
we see the spirit and,character
see the spirit and character,of
the spirit and character of,america
spirit and character of america,.
and character of america .,and
character of america . and,these
of america . and these,qualities
america . and these qualities,are
. and these qualities are,not
and these qualities are not,in
these qualities are not in,short
qualities are not in short,supply
are not in short supply,.
not in short supply .,this
in short supply . this,is
short supply . this is,a
supply . this is a,decent
. this is a decent,and
this is a decent and,honorable
is a decent and honorable,country—and
a decent and honorable country—and,resilient
decent and honorable country—and resilient,too
and honorable country—and resilient too,.
honorable country—and resilient too .,we
country—and resilient too . we,'ve
resilient too . we 've,been
too . we 've been,through
. we 've been through,a
we 've been through a,lot
've been through a lot,together
been through a lot together,.
through a lot together .,we
a lot together . we,'ve
lot together . we 've,met
together . we 've met,challenges
. we 've met challenges,and
we 've met challenges and,faced
've met challenges and faced,dangers
met challenges and faced dangers,and
challenges and faced dangers and,we
and faced dangers and we,know
faced dangers and we know,that
dangers and we know that,more
and we know that more,lie
we know that more lie,ahead
know that more lie ahead,.
that more lie ahead .,yet
more lie ahead . yet,we
lie ahead . yet we,can
ahead . yet we can,go
. yet we can go,forward
yet we can go forward,with
we can go forward with,confidence
can go forward with confidence,because
go forward with confidence because,the
forward with confidence because the,state
with confidence because the state,of
confidence because the state of,our
because the state of our,union
the state of our union,is
state of our union is,strong
of our union is strong,our
our union is strong our,cause
union is strong our cause,in
is strong our cause in,the
strong our cause in the,world
our cause in the world,is
cause in the world is,right
in the world is right,and
the world is right and,tonight
world is right and tonight,that
is right and tonight that,cause
right and tonight that cause,goes
and tonight that cause goes,on
tonight that cause goes on,.
that cause goes on .,god
cause goes on . god,bless
goes on . god bless,.
on . god bless .,see
. god bless . see,you
god bless . see you,next
bless . see you next,year
. see you next year,.
see you next year .,thank
you next year . thank,you
next year . thank you,for
year . thank you for,your
. thank you for your,prayers
thank you for your prayers,.
thank you very much .,mr.
you very much . mr.,speaker
very much . mr. speaker,vice
much . mr. speaker vice,president
. mr. speaker vice president,cheney
mr. speaker vice president cheney,members
speaker vice president cheney members,of
vice president cheney members of,congress
president cheney members of congress,distinguished
cheney members of congress distinguished,guests
members of congress distinguished guests,fellow
of congress distinguished guests fellow,citizens
congress distinguished guests fellow citizens,as
distinguished guests fellow citizens as,we
guests fellow citizens as we,gather
fellow citizens as we gather,tonight
citizens as we gather tonight,our
as we gather tonight our,nation
we gather tonight our nation,is
gather tonight our nation is,at
tonight our nation is at,war
our nation is at war,;
nation is at war ;,our
is at war ; our,economy
at war ; our economy,is
war ; our economy is,in
; our economy is in,recession
our economy is in recession,;
economy is in recession ;,and
is in recession ; and,the
in recession ; and the,civilized
recession ; and the civilized,world
; and the civilized world,faces
and the civilized world faces,unprecedented
the civilized world faces unprecedented,dangers
civilized world faces unprecedented dangers,.
world faces unprecedented dangers .,yet
faces unprecedented dangers . yet,the
unprecedented dangers . yet the,state
dangers . yet the state,of
. yet the state of,our
yet the state of our,union
the state of our union,has
state of our union has,never
of our union has never,been
our union has never been,stronger
union has never been stronger,.
has never been stronger .,we
never been stronger . we,last
been stronger . we last,met
stronger . we last met,in
. we last met in,an
we last met in an,hour
last met in an hour,of
met in an hour of,shock
in an hour of shock,and
an hour of shock and,suffering
hour of shock and suffering,.
of shock and suffering .,in
shock and suffering . in,four
and suffering . in four,short
suffering . in four short,months
. in four short months,our
in four short months our,nation
four short months our nation,has
short months our nation has,comforted
months our nation has comforted,the
our nation has comforted the,victims
nation has comforted the victims,begun
has comforted the victims begun,to
comforted the victims begun to,rebuild
the victims begun to rebuild,new
victims begun to rebuild new,york
begun to rebuild new york,and
to rebuild new york and,the
rebuild new york and the,pentagon
new york and the pentagon,rallied
york and the pentagon rallied,a
and the pentagon rallied a,great
the pentagon rallied a great,coalition
pentagon rallied a great coalition,captured
rallied a great coalition captured,arrested
a great coalition captured arrested,and
great coalition captured arrested and,rid
coalition captured arrested and rid,the
captured arrested and rid the,world
arrested and rid the world,of
and rid the world of,thousands
rid the world of thousands,of
the world of thousands of,terrorists
world of thousands of terrorists,destroyed
of thousands of terrorists destroyed,afghanistan
thousands of terrorists destroyed afghanistan,'s
of terrorists destroyed afghanistan 's,terrorist
terrorists destroyed afghanistan 's terrorist,training
destroyed afghanistan 's terrorist training,camps
afghanistan 's terrorist training camps,saved
's terrorist training camps saved,a
terrorist training camps saved a,people
training camps saved a people,from
camps saved a people from,starvation
saved a people from starvation,and
a people from starvation and,freed
people from starvation and freed,a
from starvation and freed a,country
starvation and freed a country,from
and freed a country from,brutal
freed a country from brutal,oppression
a country from brutal oppression,.
country from brutal oppression .,the
from brutal oppression . the,american
brutal oppression . the american,flag
oppression . the american flag,flies
. the american flag flies,again
the american flag flies again,over
american flag flies again over,our
flag flies again over our,embassy
flies again over our embassy,in
again over our embassy in,kabul
over our embassy in kabul,.
our embassy in kabul .,terrorists
embassy in kabul . terrorists,who
in kabul . terrorists who,once
kabul . terrorists who once,occupied
. terrorists who once occupied,afghanistan
terrorists who once occupied afghanistan,now
who once occupied afghanistan now,occupy
once occupied afghanistan now occupy,cells
occupied afghanistan now occupy cells,at
afghanistan now occupy cells at,guantanamo
now occupy cells at guantanamo,bay
occupy cells at guantanamo bay,.
cells at guantanamo bay .,and
at guantanamo bay . and,terrorist
guantanamo bay . and terrorist,leaders
bay . and terrorist leaders,who
. and terrorist leaders who,urged
and terrorist leaders who urged,followers
terrorist leaders who urged followers,to
leaders who urged followers to,sacrifice
who urged followers to sacrifice,their
urged followers to sacrifice their,lives
followers to sacrifice their lives,are
to sacrifice their lives are,running
sacrifice their lives are running,for
their lives are running for,their
lives are running for their,own
are running for their own,.
running for their own .,america
for their own . america,and
their own . america and,afghanistan
own . america and afghanistan,are
. america and afghanistan are,now
america and afghanistan are now,allies
and afghanistan are now allies,against
afghanistan are now allies against,terror
are now allies against terror,.
now allies against terror .,we
allies against terror . we,'ll
against terror . we 'll,be
terror . we 'll be,partners
. we 'll be partners,in
we 'll be partners in,rebuilding
'll be partners in rebuilding,that
be partners in rebuilding that,country
partners in rebuilding that country,.
in rebuilding that country .,and
rebuilding that country . and,this
that country . and this,evening
country . and this evening,we
. and this evening we,welcomed
and this evening we welcomed,the
this evening we welcomed the,distinguished
evening we welcomed the distinguished,interim
we welcomed the distinguished interim,leader
welcomed the distinguished interim leader,of
the distinguished interim leader of,a
distinguished interim leader of a,liberated
interim leader of a liberated,afghanistan
leader of a liberated afghanistan,chairman
of a liberated afghanistan chairman,hamid
a liberated afghanistan chairman hamid,karzai
liberated afghanistan chairman hamid karzai,.
afghanistan chairman hamid karzai .,the
chairman hamid karzai . the,last
hamid karzai . the last,time
karzai . the last time,we
. the last time we,met
the last time we met,in
last time we met in,this
time we met in this,chamber
we met in this chamber,the
met in this chamber the,mothers
in this chamber the mothers,and
this chamber the mothers and,daughters
chamber the mothers and daughters,of
the mothers and daughters of,afghanistan
mothers and daughters of afghanistan,were
and daughters of afghanistan were,captives
daughters of afghanistan were captives,in
of afghanistan were captives in,their
afghanistan were captives in their,own
were captives in their own,homes
captives in their own homes,forbidden
in their own homes forbidden,from
their own homes forbidden from,working
own homes forbidden from working,or
homes forbidden from working or,going
forbidden from working or going,to
from working or going to,school
working or going to school,.
or going to school .,today
going to school . today,women
to school . today women,are
school . today women are,free
. today women are free,and
today women are free and,are
women are free and are,part
are free and are part,of
free and are part of,afghanistan
and are part of afghanistan,'s
are part of afghanistan 's,new
part of afghanistan 's new,government
of afghanistan 's new government,.
afghanistan 's new government .,and
's new government . and,we
new government . and we,welcome
government . and we welcome,the
. and we welcome the,new
and we welcome the new,minister
we welcome the new minister,of
welcome the new minister of,women
the new minister of women,'s
new minister of women 's,affairs
minister of women 's affairs,dr.
of women 's affairs dr.,sima
women 's affairs dr. sima,samar
's affairs dr. sima samar,.
affairs dr. sima samar .,our
dr. sima samar . our,progress
sima samar . our progress,is
samar . our progress is,a
. our progress is a,tribute
our progress is a tribute,to
progress is a tribute to,the
is a tribute to the,spirit
a tribute to the spirit,of
tribute to the spirit of,the
to the spirit of the,afghan
the spirit of the afghan,people
spirit of the afghan people,to
of the afghan people to,the
the afghan people to the,resolve
afghan people to the resolve,of
people to the resolve of,our
to the resolve of our,coalition
the resolve of our coalition,and
resolve of our coalition and,to
of our coalition and to,the
our coalition and to the,might
coalition and to the might,of
and to the might of,the
to the might of the,united
the might of the united,states
might of the united states,military
of the united states military,.
the united states military .,when
united states military . when,i
states military . when i,called
military . when i called,our
. when i called our,troops
when i called our troops,into
i called our troops into,action
called our troops into action,i
our troops into action i,did
troops into action i did,so
into action i did so,with
action i did so with,complete
i did so with complete,confidence
did so with complete confidence,in
so with complete confidence in,their
with complete confidence in their,courage
complete confidence in their courage,and
confidence in their courage and,skill
in their courage and skill,.
their courage and skill .,and
courage and skill . and,tonight
and skill . and tonight,thanks
skill . and tonight thanks,to
. and tonight thanks to,them
and tonight thanks to them,we
tonight thanks to them we,are
thanks to them we are,winning
to them we are winning,the
them we are winning the,war
we are winning the war,on
are winning the war on,terror
winning the war on terror,.
the war on terror .,the
war on terror . the,men
on terror . the men,and
terror . the men and,women
. the men and women,of
the men and women of,our
men and women of our,armed
and women of our armed,forces
women of our armed forces,have
of our armed forces have,delivered
our armed forces have delivered,a
armed forces have delivered a,message
forces have delivered a message,now
have delivered a message now,clear
delivered a message now clear,to
a message now clear to,every
message now clear to every,enemy
now clear to every enemy,of
clear to every enemy of,the
to every enemy of the,united
every enemy of the united,states
enemy of the united states,even
of the united states even,"7,000"
"the united states even 7,000",miles
"united states even 7,000 miles",away
"states even 7,000 miles away",across
"even 7,000 miles away across",oceans
"7,000 miles away across oceans",and
miles away across oceans and,continents
away across oceans and continents,on
across oceans and continents on,mountaintops
oceans and continents on mountaintops,and
and continents on mountaintops and,in
continents on mountaintops and in,caves
on mountaintops and in caves,you
mountaintops and in caves you,will
and in caves you will,not
in caves you will not,escape
caves you will not escape,the
you will not escape the,justice
will not escape the justice,of
not escape the justice of,this
escape the justice of this,nation
the justice of this nation,.
justice of this nation .,for
of this nation . for,many
this nation . for many,americans
nation . for many americans,these
. for many americans these,four
for many americans these four,months
many americans these four months,have
americans these four months have,brought
these four months have brought,sorrow
four months have brought sorrow,and
months have brought sorrow and,pain
have brought sorrow and pain,that
brought sorrow and pain that,will
sorrow and pain that will,never
and pain that will never,completely
pain that will never completely,go
that will never completely go,away
will never completely go away,.
never completely go away .,every
completely go away . every,day
go away . every day,a
away . every day a,retired
. every day a retired,firefighter
every day a retired firefighter,returns
day a retired firefighter returns,to
a retired firefighter returns to,ground
retired firefighter returns to ground,zero
firefighter returns to ground zero,to
returns to ground zero to,feel
to ground zero to feel,closer
ground zero to feel closer,to
zero to feel closer to,his
to feel closer to his,two
feel closer to his two,sons
closer to his two sons,who
to his two sons who,died
his two sons who died,there
two sons who died there,.
sons who died there .,at
who died there . at,a
died there . at a,memorial
there . at a memorial,in
. at a memorial in,new
at a memorial in new,york
a memorial in new york,a
memorial in new york a,little
in new york a little,boy
new york a little boy,left
york a little boy left,his
a little boy left his,football
little boy left his football,with
boy left his football with,a
left his football with a,note
his football with a note,for
football with a note for,his
with a note for his,lost
a note for his lost,father
note for his lost father,``
for his lost father ``,dear
his lost father `` dear,daddy
lost father `` dear daddy,please
father `` dear daddy please,take
`` dear daddy please take,this
dear daddy please take this,to
daddy please take this to,heaven
please take this to heaven,.
take this to heaven .,i
this to heaven . i,do
to heaven . i do,n't
heaven . i do n't,want
. i do n't want,to
i do n't want to,play
do n't want to play,football
n't want to play football,until
want to play football until,i
to play football until i,can
play football until i can,play
football until i can play,with
until i can play with,you
i can play with you,again
can play with you again,some
play with you again some,day
with you again some day,.
you again some day .,''
again some day . '',last
some day . '' last,month
day . '' last month,at
. '' last month at,the
'' last month at the,grave
last month at the grave,of
month at the grave of,her
at the grave of her,husband
the grave of her husband,micheal
grave of her husband micheal,a
of her husband micheal a,cia
her husband micheal a cia,officer
husband micheal a cia officer,and
micheal a cia officer and,marine
a cia officer and marine,who
cia officer and marine who,died
officer and marine who died,in
and marine who died in,mazar-e-sharif
marine who died in mazar-e-sharif,shannon
who died in mazar-e-sharif shannon,spann
died in mazar-e-sharif shannon spann,said
in mazar-e-sharif shannon spann said,these
mazar-e-sharif shannon spann said these,words
shannon spann said these words,of
spann said these words of,farewell
said these words of farewell,``
these words of farewell ``,semper
words of farewell `` semper,fi
of farewell `` semper fi,my
farewell `` semper fi my,love
`` semper fi my love,.
semper fi my love .,''
fi my love . '',shannon
my love . '' shannon,is
love . '' shannon is,with
. '' shannon is with,us
'' shannon is with us,tonight
shannon is with us tonight,.
is with us tonight .,shannon
with us tonight . shannon,i
us tonight . shannon i,assure
tonight . shannon i assure,you
. shannon i assure you,and
shannon i assure you and,all
i assure you and all,who
assure you and all who,have
you and all who have,lost
and all who have lost,a
all who have lost a,loved
who have lost a loved,one
have lost a loved one,that
lost a loved one that,our
a loved one that our,cause
loved one that our cause,is
one that our cause is,just
that our cause is just,and
our cause is just and,our
cause is just and our,country
is just and our country,will
just and our country will,never
and our country will never,forget
our country will never forget,the
country will never forget the,debt
will never forget the debt,we
never forget the debt we,owe
forget the debt we owe,micheal
the debt we owe micheal,and
debt we owe micheal and,all
we owe micheal and all,who
owe micheal and all who,gave
micheal and all who gave,their
and all who gave their,lives
all who gave their lives,for
who gave their lives for,freedom
gave their lives for freedom,.
their lives for freedom .,our
lives for freedom . our,cause
for freedom . our cause,is
freedom . our cause is,just
. our cause is just,and
our cause is just and,it
cause is just and it,continues
is just and it continues,.
just and it continues .,our
and it continues . our,discoveries
it continues . our discoveries,in
continues . our discoveries in,afghanistan
. our discoveries in afghanistan,confirmed
our discoveries in afghanistan confirmed,our
discoveries in afghanistan confirmed our,worst
in afghanistan confirmed our worst,fears
afghanistan confirmed our worst fears,and
confirmed our worst fears and,showed
our worst fears and showed,us
worst fears and showed us,the
fears and showed us the,true
and showed us the true,scope
showed us the true scope,of
us the true scope of,the
the true scope of the,task
true scope of the task,ahead
scope of the task ahead,.
of the task ahead .,we
the task ahead . we,have
task ahead . we have,seen
ahead . we have seen,the
. we have seen the,depth
we have seen the depth,of
have seen the depth of,our
seen the depth of our,enemies
the depth of our enemies,'
depth of our enemies ',hatred
of our enemies ' hatred,in
our enemies ' hatred in,videos
enemies ' hatred in videos,where
' hatred in videos where,they
hatred in videos where they,laugh
in videos where they laugh,about
videos where they laugh about,the
where they laugh about the,loss
they laugh about the loss,of
laugh about the loss of,innocent
about the loss of innocent,life
the loss of innocent life,.
loss of innocent life .,and
of innocent life . and,the
innocent life . and the,depth
life . and the depth,of
. and the depth of,their
and the depth of their,hatred
the depth of their hatred,is
depth of their hatred is,equaled
of their hatred is equaled,by
their hatred is equaled by,the
hatred is equaled by the,madness
is equaled by the madness,of
equaled by the madness of,the
by the madness of the,destruction
the madness of the destruction,they
madness of the destruction they,design
of the destruction they design,.
the destruction they design .,we
destruction they design . we,have
they design . we have,found
design . we have found,diagrams
. we have found diagrams,of
we have found diagrams of,american
have found diagrams of american,nuclear
found diagrams of american nuclear,powerplants
diagrams of american nuclear powerplants,and
of american nuclear powerplants and,public
american nuclear powerplants and public,water
nuclear powerplants and public water,facilities
powerplants and public water facilities,detailed
and public water facilities detailed,instructions
public water facilities detailed instructions,for
water facilities detailed instructions for,making
facilities detailed instructions for making,chemical
detailed instructions for making chemical,weapons
instructions for making chemical weapons,surveillance
for making chemical weapons surveillance,maps
making chemical weapons surveillance maps,of
chemical weapons surveillance maps of,american
weapons surveillance maps of american,cities
surveillance maps of american cities,and
maps of american cities and,thorough
of american cities and thorough,descriptions
american cities and thorough descriptions,of
cities and thorough descriptions of,landmarks
and thorough descriptions of landmarks,in
thorough descriptions of landmarks in,america
descriptions of landmarks in america,and
of landmarks in america and,throughout
landmarks in america and throughout,the
in america and throughout the,world
america and throughout the world,.
and throughout the world .,what
throughout the world . what,we
the world . what we,have
world . what we have,found
. what we have found,in
what we have found in,afghanistan
we have found in afghanistan,confirms
have found in afghanistan confirms,that
found in afghanistan confirms that,far
in afghanistan confirms that far,from
afghanistan confirms that far from,ending
confirms that far from ending,there
that far from ending there,our
far from ending there our,war
from ending there our war,against
ending there our war against,terror
there our war against terror,is
our war against terror is,only
war against terror is only,beginning
against terror is only beginning,.
terror is only beginning .,most
is only beginning . most,of
only beginning . most of,the
beginning . most of the,19
. most of the 19,men
most of the 19 men,who
of the 19 men who,hijacked
the 19 men who hijacked,planes
19 men who hijacked planes,on
men who hijacked planes on,september
who hijacked planes on september,11
hijacked planes on september 11,were
